city,date,weather_code,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max,precipitation_sum,precipitation_probability_max,risk_score,risk_level
Casablanca,2026-09-18,3,24.5,18.9,13.4,36.7,0.0,0,0,Low
Casablanca,2026-09-19,45,26.7,18.8,11.9,32.0,0.0,0,0,Low
Casablanca,2026-09-20,45,29.0,21.9,10.9,32.0,0.0,0,0,Low
Casablanca,2026-09-21,45,28.5,21.5,11.2,31.7,0.0,0,0,Low
Casablanca,2026-09-22,45,28.2,20.7,9.7,28.1,0.0,0,0,Low
Casablanca,2026-09-23,3,30.4,19.5,12.3,32.0,0.0,0,0,Low
Casablanca,2026-09-24,3,30.3,19.1,11.8,31.7,0.0,0,0,Low
Tangier,2026-09-18,2,27.7,17.9,21.1,49.7,0.0,0,0,Low
Tangier,2026-09-19,2,27.7,22.7,30.3,73.8,0.0,0,15,Low
Tangier,2026-09-20,2,28.8,24.1,28.8,69.8,0.0,0,0,Low
Tangier,2026-09-21,1,28.7,22.4,26.3,62.6,0.0,0,0,Low
Tangier,2026-09-22,0,30.2,21.5,19.7,46.8,0.0,0,0,Low
Tangier,2026-09-23,1,26.9,21.6,31.8,60.5,0.0,0,15,Low
Tangier,2026-09-24,3,27.3,22.1,31.8,60.1,0.0,0,15,Low
Fès,2026-09-18,3,31.7,17.8,10.0,27.4,0.0,0,0,Low
Fès,2026-09-19,2,34.1,21.1,16.6,41.8,0.0,3,0,Low
Fès,2026-09-20,1,36.1,22.5,14.2,37.8,0.0,3,20,Low
Fès,2026-09-21,1,35.3,22.4,10.2,28.1,0.0,0,20,Low
Fès,2026-09-22,0,35.1,21.5,8.5,23.4,0.0,0,20,Low
Fès,2026-09-23,0,36.1,19.7,9.2,26.6,0.0,0,20,Low
Fès,2026-09-24,3,36.7,22.1,11.3,28.8,0.0,0,20,Low
Marrakech,2026-09-18,3,32.6,18.2,8.9,23.4,0.0,0,0,Low
Marrakech,2026-09-19,80,36.7,21.1,8.9,36.7,0.30000000000000004,15,35,Medium
Marrakech,2026-09-20,80,37.3,23.3,9.2,27.7,1.4,43,35,Medium
Marrakech,2026-09-21,2,37.9,22.5,14.3,39.2,0.0,6,20,Low
Marrakech,2026-09-22,1,37.8,21.4,10.5,29.9,0.0,2,20,Low
Marrakech,2026-09-23,0,37.2,20.8,14.8,25.9,0.0,3,20,Low
Marrakech,2026-09-24,1,36.8,21.7,18.2,31.0,0.0,4,20,Low
Sale,2026-09-18,45,25.4,16.7,14.0,36.7,0.0,0,0,Low
Sale,2026-09-19,2,28.4,17.0,12.2,32.4,0.0,0,0,Low
Sale,2026-09-20,2,30.1,21.1,10.8,29.5,0.0,0,0,Low
Sale,2026-09-21,1,29.9,21.1,12.0,32.0,0.0,0,0,Low
Sale,2026-09-22,0,29.3,20.6,10.2,28.4,0.0,0,0,Low
Sale,2026-09-23,3,29.1,19.2,9.8,26.6,0.0,0,0,Low
Sale,2026-09-24,2,28.2,19.3,11.0,26.6,0.0,0,0,Low
Meknès,2026-09-18,3,29.9,16.2,13.4,36.0,0.0,0,0,Low
Meknès,2026-09-19,2,34.1,19.0,12.0,32.8,0.0,3,0,Low
Meknès,2026-09-20,2,35.9,21.4,12.8,36.4,0.0,3,20,Low
Meknès,2026-09-21,1,35.4,20.7,14.1,38.2,0.0,0,20,Low
Meknès,2026-09-22,0,34.2,19.4,13.7,35.3,0.0,3,0,Low
Meknès,2026-09-23,0,35.1,19.1,11.3,25.9,0.0,3,20,Low
Meknès,2026-09-24,3,35.4,20.4,14.2,33.1,0.0,0,20,Low
Rabat,2026-09-18,45,25.5,16.8,14.0,36.7,0.0,0,0,Low
Rabat,2026-09-19,2,28.5,17.1,12.2,32.4,0.0,0,0,Low
Rabat,2026-09-20,2,30.1,21.1,10.8,29.5,0.0,0,0,Low
Rabat,2026-09-21,1,30.0,21.1,12.0,32.0,0.0,0,0,Low
Rabat,2026-09-22,0,29.4,20.7,10.2,28.4,0.0,0,0,Low
Rabat,2026-09-23,3,29.2,19.2,9.8,26.6,0.0,0,0,Low
Rabat,2026-09-24,2,28.2,19.3,11.0,26.6,0.0,0,0,Low
Agadir,2026-09-18,1,25.7,19.6,12.5,34.6,0.0,0,0,Low
Agadir,2026-09-19,3,26.1,20.6,13.3,38.5,0.0,0,0,Low
Agadir,2026-09-20,2,27.7,20.9,12.7,37.8,0.0,0,0,Low
Agadir,2026-09-21,1,33.4,21.9,9.0,28.1,0.0,0,0,Low
Agadir,2026-09-22,0,37.4,23.4,13.1,38.0,0.0,3,20,Low
Agadir,2026-09-23,1,38.2,22.1,12.3,25.2,0.0,3,20,Low
Agadir,2026-09-24,3,35.3,20.8,12.7,28.1,0.0,3,20,Low
Kenitra,2026-09-18,45,27.3,15.8,14.3,37.4,0.0,0,0,Low
Kenitra,2026-09-19,45,33.0,17.0,14.7,40.0,0.0,0,0,Low
Kenitra,2026-09-20,2,35.9,21.0,13.5,34.6,0.0,0,20,Low
Kenitra,2026-09-21,1,33.4,21.0,13.3,34.6,0.0,0,0,Low
Kenitra,2026-09-22,0,31.4,19.5,11.0,28.1,0.0,0,0,Low
Kenitra,2026-09-23,0,31.3,17.3,12.7,29.5,0.0,0,0,Low
Kenitra,2026-09-24,1,29.0,18.5,10.5,25.2,0.0,0,0,Low
Oujda-Angad,2026-09-18,45,28.0,15.6,21.0,43.2,0.0,5,0,Low
Oujda-Angad,2026-09-19,45,29.0,19.0,15.5,36.7,0.6000000000000001,35,15,Low
Oujda-Angad,2026-09-20,80,30.4,18.8,17.3,37.4,0.5,23,15,Low
Oujda-Angad,2026-09-21,45,27.3,18.2,19.7,41.4,0.0,3,0,Low
Oujda-Angad,2026-09-22,45,28.5,14.6,15.5,34.6,0.0,3,0,Low
Oujda-Angad,2026-09-23,1,30.4,16.9,20.7,37.8,0.0,3,0,Low
Oujda-Angad,2026-09-24,0,31.7,16.4,18.4,33.5,0.0,0,0,Low
Tétouan,2026-09-18,3,26.3,17.8,24.2,56.9,0.0,0,0,Low
Tétouan,2026-09-19,2,25.5,22.4,26.0,66.6,0.0,0,0,Low
Tétouan,2026-09-20,2,26.5,23.3,25.1,67.3,0.1,3,0,Low
Tétouan,2026-09-21,2,27.0,22.5,23.3,61.9,0.0,0,0,Low
Tétouan,2026-09-22,2,27.3,21.2,15.1,39.6,0.0,0,0,Low
Tétouan,2026-09-23,2,26.6,21.2,23.0,60.1,0.0,0,0,Low
Tétouan,2026-09-24,3,27.3,21.7,20.1,52.2,0.0,0,0,Low
Safi,2026-09-18,1,26.2,18.3,24.5,44.6,0.0,0,0,Low
Safi,2026-09-19,3,27.2,19.2,18.1,33.8,0.0,0,0,Low
Safi,2026-09-20,45,24.9,19.3,9.8,19.4,0.0,0,0,Low
Safi,2026-09-21,45,26.2,19.6,9.4,18.7,0.0,0,0,Low
Safi,2026-09-22,45,28.1,18.8,14.1,28.4,0.0,0,0,Low
Safi,2026-09-23,45,30.0,19.9,12.7,23.0,0.0,0,0,Low
Safi,2026-09-24,45,27.0,18.1,14.3,27.0,0.0,0,0,Low
Taourirt,2026-09-18,3,29.4,17.9,32.2,54.0,0.0,0,15,Low
Taourirt,2026-09-19,80,30.1,20.5,33.6,57.2,0.6000000000000001,15,30,Medium
Taourirt,2026-09-20,45,31.6,21.4,29.7,50.4,0.0,1,0,Low
Taourirt,2026-09-21,45,29.1,20.0,28.1,47.2,0.0,0,0,Low
Taourirt,2026-09-22,45,30.7,17.4,14.8,29.9,0.0,0,0,Low
Taourirt,2026-09-23,0,31.9,18.3,26.0,48.6,0.0,3,0,Low
Taourirt,2026-09-24,1,31.8,18.4,24.7,40.3,0.0,3,0,Low
Temara,2026-09-18,45,25.4,16.2,14.0,37.8,0.0,0,0,Low
Temara,2026-09-19,2,28.5,16.7,12.1,33.1,0.0,0,0,Low
Temara,2026-09-20,2,29.6,20.5,10.1,28.8,0.0,0,0,Low
Temara,2026-09-21,2,30.4,20.8,11.7,32.4,0.0,0,0,Low
Temara,2026-09-22,0,29.2,20.2,10.3,28.8,0.0,0,0,Low
Temara,2026-09-23,3,27.2,19.2,10.5,22.7,0.0,0,0,Low
